epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9722,1.27395,4.41478,1.08504,0.00183,0.52381,0.00189,0.00105,0.82789,4.61429,0.98077,8e-05,8e-05,8e-05
2,71.5312,1.01983,3.8161,0.93199,0.00317,0.90476,0.00664,0.00495,0.79762,4.18185,0.86053,0.00017406,0.00017406,0.00017406
3,102.953,0.96626,2.54311,0.86988,0.00317,0.90476,0.23957,0.16621,0.91246,3.93432,0.88171,0.00026152,0.00026152,0.00026152
4,134.498,0.95433,1.99244,0.87482,0.00317,0.90476,0.00592,0.00425,0.90241,4.06886,0.87757,0.00034238,0.00034238,0.00034238
5,163.339,0.91169,2.06221,0.89585,0.00317,0.90476,0.00546,0.00423,0.79798,4.02503,0.86126,0.00041664,0.00041664,0.00041664
6,190.922,0.94975,1.78687,0.91496,0.003,0.85714,0.00464,0.00348,0.84723,3.90345,0.87307,0.0004843,0.0004843,0.0004843
7,215.098,0.90494,1.43887,0.91401,0.003,0.85714,0.00796,0.00645,0.94694,3.97835,0.88015,0.00054536,0.00054536,0.00054536
8,242.986,0.89048,1.62563,0.88211,0.003,0.85714,0.01192,0.00996,0.88118,3.9631,0.87555,0.00059982,0.00059982,0.00059982
9,271.36,0.86824,1.60424,0.90534,0.003,0.85714,0.01785,0.01462,0.90874,3.98486,0.88252,0.00064768,0.00064768,0.00064768
10,298.561,0.90034,1.25855,0.91014,0.00267,0.7619,0.0093,0.00771,1.0207,4.1919,0.904,0.00068894,0.00068894,0.00068894
11,322.218,0.84943,1.24963,0.89739,0.003,0.85714,0.09799,0.07919,0.88615,3.95705,0.88547,0.0007236,0.0007236,0.0007236
12,349.599,0.90082,1.30133,0.92454,0.003,0.85714,0.41976,0.33501,0.90328,3.69284,0.90858,0.00075166,0.00075166,0.00075166
13,376.634,0.76406,1.1698,0.88268,0.74225,0.19048,0.38283,0.31761,0.90683,3.54686,0.90941,0.00077312,0.00077312,0.00077312
14,403.733,0.79618,1.14262,0.88425,0.15715,0.09784,0.38109,0.27552,0.92037,3.44099,0.92955,0.00078798,0.00078798,0.00078798
15,427.18,0.75947,1.16932,0.85104,1,0.14924,0.7223,0.57484,0.94895,3.34023,0.95001,0.00079624,0.00079624,0.00079624
16,456.356,0.79655,1.25342,0.89461,0.0455,0.33333,0.05872,0.04264,0.98461,3.60899,0.97763,0.0007979,0.0007979,0.0007979
17,486.602,0.84573,1.13599,0.89809,0.19578,0.33333,0.19025,0.14244,0.97662,3.01849,0.97436,0.00079296,0.00079296,0.00079296
18,516.177,0.77957,1.07992,0.88185,0.36471,0.47619,0.34339,0.2515,0.97141,2.80105,0.97167,0.00078142,0.00078142,0.00078142
19,541.206,0.81703,1.14628,0.8932,0.15311,0.66667,0.13845,0.09898,0.93063,2.86449,0.95835,0.00076328,0.00076328,0.00076328
20,571.097,0.75762,1.17126,0.86505,1,0.88799,0.90555,0.71259,0.9485,2.14804,0.95357,0.00073854,0.00073854,0.00073854
21,601.936,0.75682,1.40255,0.90467,1,0.85472,0.90559,0.69965,0.98042,2.26601,0.95531,0.00068,0.00068,0.00068
22,633.128,0.70805,1.31487,0.88729,0.44841,0.66667,0.46328,0.35451,1.03365,2.39784,0.97473,0.000614,0.000614,0.000614
23,661.772,0.74781,1.35357,0.8818,0.78755,0.8831,0.85656,0.64671,0.99043,2.12926,0.96988,0.000548,0.000548,0.000548
24,694.823,0.72351,1.3031,0.86915,1,0.94259,0.95813,0.73629,0.96211,1.78577,0.95187,0.000482,0.000482,0.000482
25,728.838,0.76298,1.30022,0.91841,1,0.94202,0.99152,0.76325,0.92344,1.74502,0.93815,0.000416,0.000416,0.000416
26,755.758,0.69404,1.20941,0.86386,1,0.94174,0.98611,0.7733,0.91165,1.71453,0.93062,0.00035,0.00035,0.00035
27,784.697,0.68265,1.26509,0.86878,1,0.94734,0.995,0.77076,0.90408,1.6402,0.93287,0.000284,0.000284,0.000284
28,813.763,0.73851,1.23228,0.89955,1,0.94852,0.995,0.76914,0.89243,1.47682,0.93254,0.000218,0.000218,0.000218
29,844.817,0.68698,1.15312,0.86011,1,0.94863,0.995,0.76849,0.87912,1.40152,0.92845,0.000152,0.000152,0.000152
30,878.734,0.67085,1.19653,0.84642,1,0.94921,0.995,0.77874,0.86935,1.34364,0.92598,8.6e-05,8.6e-05,8.6e-05
